business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Reliable Digital Expert,Local SEO Agencies,Internet marketing service,"Internet marketing service, Advertising agency, Branding agency, Graphic designer, Marketing agency, Marketing consultant, Public relations firm, Video editing service, Video production service, Website designer",761003,Odisha Circle,Berhampur Region,Berhampur Division,"Bhatakumarada S.O, Baghala B.O, Bellagam B.O",+91 89625 01325,http://www.digitalmarketingindore.com/,4.8,80.0,"B-281, Sukhliya Main Rd, Veena Nagar, Sukhliya, Indore, Madhya Pradesh 452010","Veena Nagar, Sukhliya",22.762001299999998,75.8680783,ChIJlyEoC5ACYzkR-VLLSudGK7U,https://www.google.com/maps/place/?q=place_id:ChIJlyEoC5ACYzkR-VLLSudGK7U,part_348,2026-09-20 20:19:13
Xtrim Digitech Pvt Ltd,Local SEO Agencies,Internet marketing service,"Internet marketing service, Marketing agency, Website designer",761003,Odisha Circle,Berhampur Region,Berhampur Division,"Bhatakumarada S.O, Baghala B.O, Bellagam B.O",+91 87703 85093,http://www.xtrimdigitech.com/,4.9,272.0,"Office No – 411, 4th Floor TBC Tower Near Tulsi Tower Geeta Bhawan, To, Old Palasia Rd, Indore, Madhya Pradesh 452001",South Tukoganj,22.7194243,75.8842753,ChIJgepMYAP9YjkR5dOgsEY9YRM,https://www.google.com/maps/place/?q=place_id:ChIJgepMYAP9YjkR5dOgsEY9YRM,part_348,2026-09-20 20:19:13
WebJi® - Web Hosting & SEO Services,Local SEO Agencies,Internet marketing service,"Internet marketing service, Business to business service, Computer support and services, Web hosting company, Marketing agency, Marketing consultant, Website designer",761003,Odisha Circle,Berhampur Region,Berhampur Division,"Bhatakumarada S.O, Baghala B.O, Bellagam B.O",+91 141 494 1811,https://webji.in/,4.7,204.0,"Shop #27, Ajmer Rd, Satya Colony, Tagore Nagar, Jaipur, Jaipur Nagar Nigam Area, Rajasthan 302021","Satya Colony, Tagore Nagar",26.89012,75.7390143,ChIJFVmdM5W0bTkRIrtZ4NwUl5o,https://www.google.com/maps/place/?q=place_id:ChIJFVmdM5W0bTkRIrtZ4NwUl5o,part_348,2026-09-20 20:19:13
Webbloom Digital | Digital Marketing Agency,Local SEO Agencies,Internet marketing service,"Internet marketing service, Advertising agency, Marketing agency",761003,Odisha Circle,Berhampur Region,Berhampur Division,"Bhatakumarada S.O, Baghala B.O, Bellagam B.O",+91 91560 45344,http://webbloomdigital.com/,5.0,7.0,"Alandi - Moshi Rd, Dudulgaon, Pimpri-Chinchwad, Maharashtra 412105",Dudulgaon,18.6763126,73.8785833,ChIJb3ykSrcihW4RziCgS-iCDMk,https://www.google.com/maps/place/?q=place_id:ChIJb3ykSrcihW4RziCgS-iCDMk,part_348,2026-09-20 20:19:13
Balaji Media Digital Marketing Agency,Local SEO Agencies,Advertising agency,Advertising agency,761003,Odisha Circle,Berhampur Region,Berhampur Division,"Bhatakumarada S.O, Baghala B.O, Bellagam B.O",+91 89552 72715,https://balajimedia.net/,5.0,44.0,"behind private bus stand, Bahadur Singh Colony, sardarsahar, Sardarshahr, Rajasthan 331403",Bahadur Singh Colony,28.442341499999998,74.5067135,ChIJ6dtHYhL1FDkRGv4GvYG-FME,https://www.google.com/maps/place/?q=place_id:ChIJ6dtHYhL1FDkRGv4GvYG-FME,part_348,2026-09-20 20:19:13
Ampex Web,Local SEO Agencies,Internet marketing service,"Internet marketing service, Business development service, Website designer, Marketing agency, Software company",761003,Odisha Circle,Berhampur Region,Berhampur Division,"Bhatakumarada S.O, Baghala B.O, Bellagam B.O",+91 87460 31372,https://ampexweb.com/,4.0,1.0,"2nd St, Anandapura, Battarahalli, Bengaluru, Karnataka 560036","Anandapura, Battarahalli",13.026064199999999,77.6930351,ChIJ42wYPIoRrjsRhqLHLMXkc6o,https://www.google.com/maps/place/?q=place_id:ChIJ42wYPIoRrjsRhqLHLMXkc6o,part_348,2026-09-20 20:19:13
ZoomLocal Tech Pvt. Ltd.,Local SEO Agencies,Marketing agency,"Marketing agency, Internet marketing service, Marketing consultant, Telephone Marketing Agency",761003,Odisha Circle,Berhampur Region,Berhampur Division,"Bhatakumarada S.O, Baghala B.O, Bellagam B.O",N/A,https://zoomlocal.in/,,,"office no 406, Simicolon, Prabhavee Tech Park, Baner, Pune, Maharashtra 411045",Baner,18.5651111,73.7789481,ChIJGwHfKIe_wjsRn1kf_e7rRKo,https://www.google.com/maps/place/?q=place_id:ChIJGwHfKIe_wjsRn1kf_e7rRKo,part_348,2026-09-20 20:19:13
Reddyppc-Best seo and online advertising agency,Local SEO Agencies,Marketing agency,"Marketing agency, Advertising agency",761003,Odisha Circle,Berhampur Region,Berhampur Division,"Bhatakumarada S.O, Baghala B.O, Bellagam B.O",N/A,N/A,,,"Big reddy street, Nagulupeta Rd, Nagulupeta, Chatrapur, Odisha 761020",Nagulupeta,19.357256,84.980398,ChIJW1z9oZj9FzoROZ-Y9cX2cx0,https://www.google.com/maps/place/?q=place_id:ChIJW1z9oZj9FzoROZ-Y9cX2cx0,part_348,2026-09-20 20:19:13
Dewbytes,Local SEO Agencies,Marketing agency,"Marketing agency, Advertising agency, Internet marketing service, Website designer",761003,Odisha Circle,Berhampur Region,Berhampur Division,"Bhatakumarada S.O, Baghala B.O, Bellagam B.O",N/A,http://www.dewbytes.com/,5.0,,"H/N0-116, Gandhi Basti, Sarania Hills, SILPUKHURI, Guwahati, Assam 781003","Gandhi Basti, Sarania Hills",26.1809326,91.76342559999999,ChIJRU8F0ehZWjcR8kLqU9m4qDU,https://www.google.com/maps/place/?q=place_id:ChIJRU8F0ehZWjcR8kLqU9m4qDU,part_348,2026-09-20 20:19:14
Digipeddle Technologies | Digipeddle Tech Digital Solutions Pvt. Ltd.,Local SEO Agencies,Internet marketing service,"Internet marketing service, Software company",761003,Odisha Circle,Berhampur Region,Berhampur Division,"Bhatakumarada S.O, Baghala B.O, Bellagam B.O",+91 86687 60415,https://www.digipeddle.in/,4.9,,"37, Square Meter, Lata Mangeshkar Layout, Flat No. 102, 1st Floor, Balewadi Rd, Balewadi, Pune, Maharashtra 411045",Balewadi,18.579210099999997,73.771759,ChIJoe8VvYi5wjsRLK72zLqsnjk,https://www.google.com/maps/place/?q=place_id:ChIJoe8VvYi5wjsRLK72zLqsnjk,part_348,2026-09-20 20:19:14
